Year,Date,Month,AQI
2022,14,Aug,50.0
2022,15,Aug,50.0
2022,16,Aug,49.0
2022,17,Aug,49.0
2022,18,Aug,51.0
2022,19,Aug,67
2022,20,Aug,67
2022,21,Aug,81.0
2022,22,Aug,88.0
2022,23,Aug,104.0
2022,24,Aug,90.0
2022,25,Aug,90.0
2022,26,Aug,95.0
2022,27,Aug,94.0
2022,28,Aug,98.0
2022,29,Aug,104.0
2022,30,Aug,93.0
2022,31,Aug,96.0
2022,01,Sep,93.0
2022,02,Sep,81.0
2022,03,Sep,83.0
2022,04,Sep,86.0
2022,05,Sep,84.0
2022,06,Sep,84.0
2022,07,Sep,91.0
2022,08,Sep,88.0
2022,09,Sep,86.0
2022,10,Sep,85.0
2022,11,Sep,87.0
2022,12,Sep,85.0
2022,13,Sep,88
2022,14,Sep,80.0
2022,15,Sep,88
2022,16,Sep,78.0
2022,17,Sep,86.0
2022,18,Sep,86.0
2022,19,Sep,85.0
2022,20,Sep,92.0
2022,21,Sep,91.0
2022,22,Sep,91.0
2022,23,Sep,93.0
2022,24,Sep,96.0
2022,25,Sep,97.0
2022,26,Sep,97.0
2022,27,Sep,88.0
2022,28,Sep,91.0
2022,29,Sep,88.0
2022,30,Sep,92.0
2022,31,Sep,88
2022,01,Oct,93.0
2022,02,Oct,95.0
2022,03,Oct,90.0
2022,04,Oct,89.0
2022,05,Oct,88.0
2022,06,Oct,87.0
2022,07,Oct,81.0
2022,08,Oct,82.0
2022,09,Oct,84.0
2022,10,Oct,83.0
2022,11,Oct,80.0
2022,12,Oct,84.0
2022,13,Oct,84.0
2022,14,Oct,79.0
2022,15,Oct,110
2022,16,Oct,137.0
2022,17,Oct,66.0
2022,18,Oct,82.0
2022,19,Oct,122.0
2022,20,Oct,104.0
2022,21,Oct,110
2022,22,Oct,110
2022,23,Oct,161.0
2022,24,Oct,136.0
2022,25,Oct,253.0
2022,26,Oct,203.0
2022,27,Oct,110
2022,28,Oct,148.0
2022,29,Oct,124.0
2022,30,Oct,115.0
2022,31,Oct,108.0
2022,01,Nov,117.0
2022,02,Nov,107.0
2022,03,Nov,128.0
2022,04,Nov,112.0
2022,05,Nov,146.0
2022,06,Nov,136.0
2022,07,Nov,141.0
2022,08,Nov,171.0
2022,09,Nov,132.0
2022,10,Nov,116.0
2022,11,Nov,117.0
2022,12,Nov,114.0
2022,13,Nov,142.0
2022,14,Nov,136.0
2022,15,Nov,153.0
2022,16,Nov,115.0
2022,17,Nov,123.0
2022,18,Nov,87.0
2022,19,Nov,91.0
2022,20,Nov,111.0
2022,21,Nov,131.0
2022,22,Nov,123.0
2022,23,Nov,102.0
2022,24,Nov,106.0
2022,25,Nov,117
2022,26,Nov,76.0
2022,27,Nov,67.0
2022,28,Nov,97.0
2022,29,Nov,66.0
2022,30,Nov,124.0
2022,31,Nov,117
2022,01,Dec,131.0
2022,02,Dec,114
2022,03,Dec,114
2022,04,Dec,130.0
2022,05,Dec,120.0
2022,06,Dec,114
2022,07,Dec,190.0
2022,08,Dec,110.0
2022,09,Dec,108.0
2022,10,Dec,110.0
2022,11,Dec,106.0
2022,12,Dec,91.0
2022,13,Dec,68.0
2022,14,Dec,51.0
2022,15,Dec,80.0
2022,16,Dec,94.0
2022,17,Dec,78.0
2022,18,Dec,71.0
2022,19,Dec,70.0
2022,20,Dec,99.0
2022,21,Dec,135.0
2022,22,Dec,155.0
2022,23,Dec,143.0
2022,24,Dec,168.0
2022,25,Dec,124.0
2022,26,Dec,149.0
2022,27,Dec,120.0
2022,28,Dec,114
2022,29,Dec,114
2022,30,Dec,143.0
2022,31,Dec,131.0
2023,1,Jan,406.0
2023,2,Jan,368.0
2023,3,Jan,335.0
2023,4,Jan,320.0
2023,5,Jan,331.0
2023,6,Jan,329.0
2023,7,Jan,345.0
2023,8,Jan,338.0
2023,9,Jan,391.0
2023,10,Jan,322.0
2023,11,Jan,365.0
2023,12,Jan,373.0
2023,13,Jan,354.0
2023,14,Jan,352.0
2023,15,Jan,280.0
2023,16,Jan,280.0
2023,17,Jan,315.0
2023,18,Jan,320.0
2023,19,Jan,357.0
2023,20,Jan,362.0
2023,21,Jan,371.0
2023,22,Jan,361.0
2023,23,Jan,323.0
2023,24,Jan,323.0
2023,25,Jan,316.0
2023,26,Jan,319.0
2023,27,Jan,156.0
2023,28,Jan,209.0
2023,29,Jan,227.0
2023,30,Jan,305.0
2023,31,Jan,236.0
2023,1,Feb,108
2023,2,Feb,141
2023,3,Feb,202
2023,4,Feb,145
2023,5,Feb,140
2023,6,Feb,145
2023,7,Feb,167
2023,8,Feb,179
2023,9,Feb,161
2023,10,Feb,NA 
2023,11,Feb,224
2023,12,Feb,162
2023,13,Feb,118
2023,14,Feb,142
2023,15,Feb,157
2023,16,Feb,255
2023,17,Feb,274
2023,18,Feb,303
2023,19,Feb,222
2023,20,Feb,222
2023,21,Feb,211
2023,22,Feb,180
2023,23,Feb,161
2023,24,Feb,184
2023,25,Feb,171
2023,26,Feb,202
2023,27,Feb,166
2023,28,Feb,190
2023,29,Feb,183
2023,30,Feb,183
2023,31,Feb,183
2023,1,Mar,189
2023,2,Mar,212
2023,3,Mar,154
2023,4,Mar,156
2023,5,Mar,136
2023,6,Mar,129
2023,7,Mar,168
2023,8,Mar,111
2023,9,Mar,108
2023,10,Mar,83
2023,11,Mar,NA 
2023,12,Mar,135
2023,13,Mar,152
2023,14,Mar,158
2023,15,Mar,173
2023,16,Mar,115
2023,17,Mar,121
2023,18,Mar,162
2023,19,Mar,125
2023,20,Mar,72
2023,21,Mar,98
2023,22,Mar,74
2023,23,Mar,129
2023,24,Mar,131
2023,25,Mar,154
2023,26,Mar,158
2023,27,Mar,NA 
2023,28,Mar,204
2023,29,Mar,162
2023,30,Mar,158
2023,31,Mar,112
2023,1,Apr,NA 
2023,2,Apr,95
2023,3,Apr,94
2023,4,Apr,NA 
2023,5,Apr,142
2023,6,Apr,136
2023,7,Apr,80
2023,8,Apr,151
2023,9,Apr,NA 
2023,10,Apr,NA 
2023,11,Apr,NA 
2023,12,Apr,143
2023,13,Apr,133
2023,14,Apr,150
2023,15,Apr,202
2023,16,Apr,184
2023,17,Apr,151
2023,18,Apr,159
2023,19,Apr,134
2023,20,Apr,NA 
2023,21,Apr,127
2023,22,Apr,NA 
2023,23,Apr,71
2023,24,Apr,105
2023,25,Apr,NA 
2023,26,Apr,133
2023,27,Apr,127
2023,28,Apr,107
2023,29,Apr,124
2023,30,Apr,98
2023,31,Apr,129
2023,1,May,76
2023,2,May,61
2023,3,May,80
2023,4,May,102
2023,5,May,88
2023,6,May,NA 
2023,7,May,131
2023,8,May,141
2023,9,May,139
2023,10,May,128
2023,11,May,148
2023,12,May,130
2023,13,May,139
2023,14,May,142
2023,15,May,204
2023,16,May,177
2023,17,May,218
2023,18,May,NA 
2023,19,May,149
2023,20,May,171
2023,21,May,190
2023,22,May,168
2023,23,May,128
2023,24,May,98
2023,25,May,113
2023,26,May,92
2023,27,May,NA 
2023,28,May,NA 
2023,29,May,NA 
2023,30,May,124
2023,31,May,NA 
2023,1,Jun,121
2023,2,Jun,134
2023,3,Jun,NA 
2023,4,Jun,161
2023,5,Jun,128
2023,6,Jun,115
2023,7,Jun,122
2023,8,Jun,140
2023,9,Jun,141
2023,10,Jun,183
2023,11,Jun,166
2023,12,Jun,162
2023,13,Jun,210
2023,14,Jun,NA 
2023,15,Jun,NA 
2023,16,Jun,117
2023,17,Jun,114
2023,18,Jun,123
2023,19,Jun,NA 
2023,20,Jun,NA 
2023,21,Jun,99
2023,22,Jun,NA 
2023,23,Jun,NA 
2023,24,Jun,66
2023,25,Jun,103
2023,26,Jun,NA 
2023,27,Jun,NA 
2023,28,Jun,NA 
2023,29,Jun,NA 
2023,30,Jun,69
2023,31,Jun,130
2023,1,Jul,NA 
2023,2,Jul,NA 
2023,3,Jul,NA 
2023,4,Jul,NA 
2023,5,Jul,NA 
2023,6,Jul,NA 
2023,7,Jul,113
2023,8,Jul,130
2023,9,Jul,NA 
2023,10,Jul,NA 
2023,11,Jul,NA 
2023,12,Jul,NA 
2023,13,Jul,101
2023,14,Jul,40
2023,15,Jul,36
2023,16,Jul,NA 
2023,17,Jul,44
2023,18,Jul,NA 
2023,19,Jul,44
2023,20,Jul,59
2023,21,Jul,50
2023,22,Jul,35
2023,23,Jul,35
2023,24,Jul,45
2023,25,Jul,43
2023,26,Jul,49
2023,27,Jul,39
2023,28,Jul,50
2023,29,Jul,50
2023,30,Jul,62
2023,31,Jul,NA 
2023,1,Aug,NA 
2023,2,Aug,NA 
2023,3,Aug,NA 
2023,4,Aug,72
2023,5,Aug,65
2023,6,Aug,39
2023,7,Aug,NA 
2023,8,Aug,NA 
2023,9,Aug,NA 
2023,10,Aug,66
2023,11,Aug,77
2023,12,Aug,83
2023,13,Aug,66
2023,14,Aug,NA 
2023,15,Aug,54
